Alloy grade,Ni,Cr,Co,Fe,Al,Ti,Nb,Mo,W,C,B,Zr,Test temperature (℃),Test stress (Mpa),solution treatment temperature,solution treatment time,γ'/γ'' phases dissolution temperature (℃),Stable aging temperature (℃),Stable aging time (h),Aging temperature (℃),Aging time (h),Creep rupture life,Evaluation of the heat treatment process,1 means the added heat treatment process has a positive effect on creep rupture life
Waspaloy,57.254,19.31,13.39,1.08,1.44,3.12,0.0,4.3,0.0,0.042,0.004,0.06,700,450,1080,4.0,1037.0,845,24,760,16,1949.0,1,
Waspaloy,57.254,19.31,13.39,1.08,1.44,3.12,0.0,4.3,0.0,0.042,0.004,0.06,725,380,1080,4.0,1037.0,845,24,760,16,1550.0,1,
Waspaloy,57.254,19.31,13.39,1.08,1.44,3.12,0.0,4.3,0.0,0.042,0.004,0.06,725,350,1080,4.0,1037.0,845,24,760,16,1995.0,1,0 means the added heat treatment process has a positive effect on creep rupture life
Waspaloy,59.345,18.3,12.77,1.06,1.37,2.84,0.0,4.27,0.0,0.037,0.008,0.0,732,517,1020,4.0,1007.91,845,4,760,16,46.5,0,
Waspaloy,59.345,18.3,12.77,1.06,1.37,2.84,0.0,4.27,0.0,0.037,0.008,0.0,815,330,1020,4.0,1007.91,845,4,760,16,22.5,0,
Waspaloy,59.345,18.3,12.77,1.06,1.37,2.84,0.0,4.27,0.0,0.037,0.008,0.0,732,517,1080,4.0,1007.91,845,24,760,16,104.0,1,
Waspaloy,59.345,18.3,12.77,1.06,1.37,2.84,0.0,4.27,0.0,0.037,0.008,0.0,815,330,1080,4.0,1007.91,845,24,760,16,82.1,1,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,0,0,760,16,48.5,0,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,845,4,760,16,71.11,1,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,845,24,760,16,36.51,0,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,845,48,760,16,25.5,0,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,800,4,760,16,61.73,1,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,820,4,760,16,69.33,1,
Waspaloy,57.627,19.2,13.5,0.52,1.41,3.25,0.0,4.45,0.0,0.035,0.008,0.0,730,550,1020,4.0,1042.0,860,4,760,16,66.81,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,760,0,77.14,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,760,8,73.857,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,760,16,75.7115,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,760,48,76.01,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,720,16,71.51,1,
Waspaloy,58.091,19.1,13.2,0.5,1.43,3.21,0.0,4.43,0.0,0.035,0.004,0.0,730,550,1020,4.0,1040.15,845,4,800,16,72.5,1,
Waspaloy,58.854,19.31,13.39,0.0,1.46,2.64,0.0,4.3,0.0,0.042,0.004,0.0,650,620,1080,4.0,1008.9,845,24,760,16,928.3,0,
Waspaloy,58.736,19.44,13.6,0.0,1.38,2.62,0.0,4.18,0.0,0.037,0.007,0.0,650,620,1080,4.0,1003.6,845,24,760,16,2599.0,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1000,4.0,1023.0,845,4,760,16,41.41,0,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1000,4.0,1023.0,845,4,760,16,69.42,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1010,4.0,1023.0,845,4,760,16,36.5,0,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1010,4.0,1023.0,845,4,760,16,55.45,0,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1020,4.0,1023.0,845,4,760,16,45.05,0,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1020,4.0,1023.0,845,4,760,16,73.32,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1030,4.0,1023.0,845,4,760,16,67.5,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,732,549,1030,4.0,1023.0,845,4,760,16,95.12,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,815,325,1040,4.0,1023.0,845,4,760,16,53.0,0,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,815,325,1060,4.0,1023.0,845,4,760,16,64.0,1,
Waspaloy,57.5705,19.21,14.2,0.15,1.37,2.97,0.0,4.42,0.0,0.048,0.0055,0.056,815,325,1080,4.0,1023.0,845,4,760,16,47.0,0,
Waspaloy,57.83,19.14,13.34,0.47,1.46,3.24,0.0,4.42,0.0,0.042,0.004,0.054,730,550,1000,4.0,1043.0,845,4,760,16,32.19,0,
Waspaloy,57.83,19.14,13.34,0.47,1.46,3.24,0.0,4.42,0.0,0.042,0.004,0.054,730,550,1010,4.0,1043.0,845,4,760,16,39.74,0,
Waspaloy,57.83,19.14,13.34,0.47,1.46,3.24,0.0,4.42,0.0,0.042,0.004,0.054,730,550,1020,4.0,1043.0,845,4,760,16,41.25,0,
Waspaloy,57.83,19.14,13.34,0.47,1.46,3.24,0.0,4.42,0.0,0.042,0.004,0.054,730,550,1030,4.0,1043.0,845,4,760,16,48.49,0,
Waspaloy,57.83,19.14,13.34,0.47,1.46,3.24,0.0,4.42,0.0,0.042,0.004,0.054,730,550,1040,4.0,1043.0,845,4,760,16,69.5,1,
Waspaloy,57.246,19.51,13.49,0.78,1.38,3.09,0.0,4.39,0.0,0.05,0.004,0.06,815,295,1020,4.0,1030.0,845,4,760,16,42.81,0,
Waspaloy,57.246,19.51,13.49,0.78,1.38,3.09,0.0,4.39,0.0,0.05,0.004,0.06,815,295,1080,4.0,1030.0,845,24,760,16,81.12,1,
Waspaloy,58.583,19.3,13.5,0.0,1.55,3.1,0.0,3.85,0.0,0.06,0.007,0.05,730,515,1040,1.7,1030.0,755,13,0,0,95.5,1,
IN718,51.82,18.94,0.03,19.35,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,650,690,960,1.0,973.0,720,8,620,8,117.0,0,
IN718,51.82,18.94,0.03,19.35,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,690,960,1.0,973.0,720,8,620,8,40.0,0,
IN718,51.82,18.94,0.03,19.35,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,690,690,960,1.0,973.0,720,8,620,8,13.0,0,
IN718,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,680,0,0.0,973.0,720,8,620,8,185.0,1,
IN718,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,700,0,0.0,973.0,720,8,620,8,123.0,1,
IN718,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,720,0,0.0,973.0,720,8,620,8,80.0,1,
IN718,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,670,700,0,0.0,973.0,720,8,620,8,54.0,1,
IN718,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,680,700,0,0.0,973.0,720,8,620,8,38.0,1,
IN718,52.3,19.01,0.02,18.937,0.57,1.0,5.07,3.06,0.0,0.03,0.003,0.0,650,725,960,2.0,967.0,720,8,620,8,123.0,0,
IN718,52.3,19.01,0.02,18.937,0.57,1.0,5.07,3.06,0.0,0.03,0.003,0.0,650,725,960,1.0,967.0,720,8,620,8,88.0,0,
IN718,52.3,19.01,0.02,18.937,0.57,1.0,5.07,3.06,0.0,0.03,0.003,0.0,650,725,0,0.0,967.0,720,8,620,8,169.0,1,
IN718,53.44,18.56,0.0,18.472,0.44,1.04,5.0,3.02,0.0,0.026,0.002,0.0,650,725,960,1.0,965.0,720,8,0,0,137.39,1,
IN718,53.44,18.56,0.0,18.472,0.44,1.04,5.0,3.02,0.0,0.026,0.002,0.0,650,725,960,1.0,965.0,0,0,620,8,59.76,0,
IN718,53.44,18.56,0.0,18.472,0.44,1.04,5.0,3.02,0.0,0.026,0.002,0.0,650,725,960,1.0,965.0,720,8,620,8,201.56,1,
IN718,53.44,18.56,0.0,18.472,0.44,1.04,5.0,3.02,0.0,0.026,0.002,0.0,650,725,980,1.0,965.0,720,8,620,8,178.45,1,
IN718,52.3,19.01,0.02,18.967,0.57,1.0,5.07,3.03,0.0,0.03,0.003,0.0,650,725,960,1.0,968.0,720,8,620,8,86.0,0,
IN718,51.31,18.94,0.02,20.215,0.37,1.02,5.06,3.03,0.0,0.03,0.005,0.0,650,725,960,1.0,978.0,720,8,620,8,136.2,1,
IN718,51.31,18.94,0.02,20.215,0.37,1.02,5.06,3.03,0.0,0.03,0.005,0.0,650,725,0,0.0,978.0,720,8,620,8,166.3,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,700,960,1.0,974.0,720,8,620,8,160.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,720,960,1.0,974.0,720,8,620,8,55.0,0,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,740,960,1.0,974.0,720,8,620,8,34.0,0,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,670,700,960,1.0,974.0,720,8,620,8,57.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,680,700,960,1.0,974.0,720,8,620,8,18.0,0,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,700,0,0.0,974.0,0,0,0,0,60.0,0,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,700,0,0.0,974.0,720,8,620,8,126.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,650,700,0,0.0,974.0,720,8,620,8,500.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,670,700,0,0.0,974.0,720,8,620,8,67.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,720,0,0.0,974.0,720,8,620,8,110.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,740,0,0.0,974.0,720,8,620,8,55.0,1,
IN718,53.0,19.0,0.0,18.156,0.5,1.0,5.3,3.0,0.0,0.04,0.004,0.0,660,700,0,0.0,974.0,0,0,680,300,108.0,0,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,860,0,0.0,976.0,720,8,620,8,497.47,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,880,0,0.0,976.0,720,8,620,8,342.25,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,900,0,0.0,976.0,720,8,620,8,223.2,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,920,0,0.0,976.0,720,8,620,8,118.75,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,950,0,0.0,976.0,720,8,620,8,67.5,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,980,0,0.0,976.0,720,8,620,8,18.15,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,600,1010,0,0.0,976.0,720,8,620,8,17.42,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,630,0,0.0,976.0,720,8,620,8,731.0,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,660,0,0.0,976.0,720,8,620,8,388.39,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,690,0,0.0,976.0,720,8,620,8,268.0,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,720,0,0.0,976.0,720,8,620,8,174.1,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,750,0,0.0,976.0,720,8,620,8,83.03,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,780,0,0.0,976.0,720,8,620,8,69.62,1,
IN718,51.7,19.7,0.07,18.8986,0.42,1.01,5.04,3.12,0.0,0.039,0.0024,0.0,650,810,0,0.0,976.0,720,8,620,8,29.46,1,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,800,150,975,1.0,971.0,720,8,620,8,69.6,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,800,100,975,1.0,971.0,720,8,620,8,172.5,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,800,75,975,1.0,971.0,720,8,620,8,350.4,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,800,50,975,1.0,971.0,720,8,620,8,479.2,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,850,100,975,1.0,971.0,720,8,620,8,24.1,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,850,75,975,1.0,971.0,720,8,620,8,121.5,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,850,50,975,1.0,971.0,720,8,620,8,168.4,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,850,25,975,1.0,971.0,720,8,620,8,404.1,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,900,75,975,1.0,971.0,720,8,620,8,8.3,0,
IN718,53.0,19.0,0.0,18.15,0.5,1.0,5.3,3.0,0.0,0.05,0.0,0.0,900,50,975,1.0,971.0,720,8,620,8,91.0,0,
IN718,52.82,18.96,0.0,18.36,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,700,0,0.0,965.0,720,8,620,8,51.57,0,
IN718,52.82,18.96,0.0,18.36,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,700,900,2.0,965.0,720,8,620,8,52.13,0,
IN718,52.82,18.96,0.0,18.36,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,700,900,4.0,965.0,720,8,620,8,55.0,1,
IN718,52.82,18.96,0.0,18.36,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,700,900,8.0,965.0,720,8,620,8,50.57,0,
IN718,52.82,18.96,0.0,18.36,0.59,1.0,5.23,3.01,0.0,0.03,0.0,0.0,670,700,900,16.0,965.0,720,8,620,8,35.0,0,
IN718,52.886,18.73,0.03,18.22,0.5,1.06,5.48,3.06,0.0,0.03,0.004,0.0,700,720,975,1.0,983.0,720,8,620,8,6.25,0,
IN718,52.886,18.73,0.03,18.22,0.5,1.06,5.48,3.06,0.0,0.03,0.004,0.0,700,650,975,1.0,983.0,720,8,620,8,13.75,0,
IN718,52.886,18.73,0.03,18.22,0.5,1.06,5.48,3.06,0.0,0.03,0.004,0.0,700,560,975,1.0,983.0,720,8,620,8,51.25,0,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,593,1172,1010,1.0,968.0,718,8,621,8,100.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,649,758,1010,1.0,968.0,718,8,621,8,100.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,704,517,1010,1.0,968.0,718,8,621,8,100.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,760,303,1010,1.0,968.0,718,8,621,8,100.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,593,896,1010,1.0,968.0,718,8,621,8,1000.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,649,586,1010,1.0,968.0,718,8,621,8,1000.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,704,379,1010,1.0,968.0,718,8,621,8,1000.0,1,
IN718,52.96,19.0,0.0,18.5,0.5,0.9,5.1,3.0,0.0,0.04,0.0,0.0,760,172,1010,1.0,968.0,718,8,621,8,1000.0,1,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,700,0,0.0,936.0,720,8,620,8,56.0,1,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,650,0,0.0,936.0,720,8,620,8,123.0,1,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,630,0,0.0,936.0,720,8,620,8,178.0,1,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,700,960,1.0,936.0,720,8,620,8,27.6,0,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,650,960,1.0,936.0,720,8,620,8,52.4,0,
IN718g,52.3,18.18,0.0,19.1394,1.24,0.93,5.16,3.01,0.0,0.031,0.0096,0.0,680,630,960,1.0,936.0,720,8,620,8,62.4,0,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,680,0,0.0,973.0,720,8,620,8,185.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,700,0,0.0,973.0,720,8,620,8,123.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,720,0,0.0,973.0,720,8,620,8,80.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,670,700,0,0.0,973.0,720,8,620,8,54.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,680,700,0,0.0,973.0,720,8,620,8,39.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,680,0,0.0,973.0,720,8,680,300,145.6,0,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,700,0,0.0,973.0,720,8,680,300,117.3,0,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,720,0,0.0,973.0,720,8,680,300,26.3,0,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,670,700,0,0.0,973.0,720,8,680,300,57.6,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,680,700,0,0.0,973.0,720,8,680,300,30.0,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,680,960,1.0,973.0,720,8,620,8,182.71,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,700,960,1.0,973.0,720,8,620,8,118.15,1,
IN718g,53.229,18.92,0.0,17.6,0.56,1.0,5.35,3.3,0.0,0.03,0.011,0.0,660,720,960,1.0,973.0,720,8,620,8,58.42,0,
